# Constructed from biom file																																				
#OTU ID	G1-AWI11	G10-ROS4	G11-DAL30	G12-NOC23	G13-NOAA23	G14-ROS20	G15-AWI3	G16-NOC11	G17-DAL12	G18-NOAA6	G19-AWI7	G2-NOAA29	G20-ROS12	G21-NOC33	G22-DAL24	G23-NOAA12	G24-AWI15	G25-ROS8	G26-NOAA5	G27-eMock2-2	G28-eMock2-7	G29-eMockA-11	G3-DAL6	G30-eMockB-18	G31-eMockB-20	G32-bMock2	G33-bMock9	G34-bMock20	G35-bMock22	G36-bMock27	G4-ROS16	G5-NOC4	G6-DAL18	G7-NOC20	G8-AWI19	G9-NOAA17
4cab0df7abb88b31989680d38a6e8df1	0	1	4	0	1370	0	0	0	0	553	0	846	0	3	0	570	0	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	484
18100a59c7c5e99d864f5058168e81ef	0	26	0	868	26	9	0	676	0	26	0	55	4	653	0	9	0	13	36	0	0	0	14	0	0	0	0	0	0	0	8	1562	0	885	0	0
d62838da3ee30dadf329ab73cf86f91a	0	303	0	587	0	100	0	726	0	0	0	0	67	646	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	120	1412	0	724	0	0
2983438e2b03eb1c22c5b4d99292e6cb	0	343	73	486	121	232	0	490	38	93	0	103	148	444	62	60	0	137	132	0	0	0	72	0	0	0	0	0	0	0	241	981	73	387	0	14
980bd097972c54364b506a439d7c8383	0	267	9	423	440	128	0	209	10	184	0	205	87	396	16	321	0	68	398	0	0	0	0	0	0	0	0	0	0	0	167	574	0	577	0	193
d24ff835d731a79fc0db2e2aa9da42bd	0	92	793	0	0	55	0	0	360	0	0	0	27	0	1294	0	0	31	0	0	0	0	1003	0	0	0	0	0	0	0	46	0	944	0	0	0
7a7ac40b08f9a40f905485296442337e	0	510	16	574	39	181	4	515	8	44	2	86	134	470	20	0	0	118	78	0	0	0	27	0	0	0	0	0	0	0	234	954	21	425	5	0
0610930a536e19b0dcc65186c0f70cd3	0	366	0	6	968	239	0	7	0	258	0	631	147	0	0	509	0	181	531	0	0	0	0	0	0	0	0	0	0	0	295	12	0	0	0	302
0f2551eb7c43e82c8bd59d9e51a5aadf	0	350	0	302	421	137	0	297	0	236	0	355	92	237	14	177	0	122	371	0	0	0	22	0	0	0	0	0	0	0	153	608	9	309	0	93
7338e9edfef034ec21924ff03d3f4417	0	279	74	517	47	90	0	416	30	0	0	0	48	765	91	40	0	57	56	0	0	0	63	0	0	0	0	0	0	0	131	703	58	812	0	25
df29deb0aff9e983f503e7471e71f4ec	896	90	55	20	0	50	1415	0	27	0	367	0	0	23	93	0	276	29	0	0	0	0	78	0	0	0	0	0	0	0	68	45	71	26	496	0
5623a932ace577bbcad9b0f70414ad2a	0	732	26	266	22	422	0	246	10	22	0	45	283	313	44	4	0	289	49	0	0	0	41	0	0	0	0	0	0	0	403	628	20	247	0	0
528b7d2f517aa245b8a2eb8257a5b77e	711	0	0	0	0	0	1543	0	0	0	755	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0
31f18280654c3b734dc52067fad44df7	0	133	16	18	964	41	0	15	4	315	0	585	27	22	28	457	0	28	571	0	0	0	39	0	0	0	0	0	0	0	48	37	20	39	0	453
beb394ea8bdebf4c464de90c187f2068	833	0	0	0	0	0	1771	0	0	0	381	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0
